ID_CODE,NAME,SURNAME,DISPLAY_NAME,SORT_NAME,BIRTH_FLAG,BIRTH_PLACE,BIRTH_YEAR,DEATH_FLAG,DEATH_PLACE,DEATH_YEAR,STUDENT_OF
m_galiana,Miguel,Galiana Folqués,,"Galiana, Miguel",es,Ontinyent,1814,es,Ontinyent,1880,
r_chapi,Ruperto,Chapí Lorente,,"Chapí, Ruperto",es,Villena,1851,es,Madrid,1909,"m_galiana,e_arrieta"
e_perez_monllor,Evaristo,Pérez Monllor,,"Pérez Monllor, Evaristo",es,Alcoi,1880,es,Alcoi,1930,"m_galiana,c_perez_laporta"
c_perez_monllor,Camilo,Pérez Monllor,,"Pérez Monllor, Camilo",es,Alcoi,1877,es,Madrid,1947,"m_galiana,c_perez_laporta,j_canto"
a_javayoles,Alfredo,Javayoles López,,"Javayoles, Alfredo",es,Elx,1865,es,Elx,1944,m_galiana
j_arcas,Julio Gabino,Arcas Lacal,Julián Arcas Lacal,"Arcas, Julián",es,María,1832,es,Antequera,1882,d_aguado
h_vinalesa,José,Orts Lloris,Honorato de Vinalesa,"Vinalesa, Honorato de",es,Vinalesa,1901,es,Massamagrell,1973,m_palau
v_martin_soler,Vicent,Martín i Soler,,"Martín i Soler, Vicent",es,València,1754,ru,Sankt-Peterburg,1806,"f_morera,m_narro"
f_morera,Francesc,Morera Cots,,"Morera, Francesc",es,Sant Mateu,1731,es,València,1793,j_prades
m_narro,Manuel,Narro Campos,,"Narro, Manuel",es,València,1729,es,València,1776,
v_pashkevich,Vasily,Pashkevich,,"Pashkevich, Vasily",ua,,ca.1742,ru,Sankt-Peterburg,1797,v_martin_soler
y_fomin,Yevstigney,Fomin,,"Fomin, Yevstigney",ru,Sankt-Peterburg,1761,ru,Sankt-Peterburg,1800,"v_martin_soler,gb_martini"
j_prades,Josep,Prades i Gallent,,"Prades, Josep",es,Vilafermosa,1689,es,Vilafermosa,1757,jb_cabanilles
j_teixidor,Jaume,Teixidor Dalmau,,"Teixidor, Jaume",es,Barcelona,1884,es,Barakaldo,1957,"a_vives,d_mas"
gb_martini,Giovanni Battista,Martini,Padre Martini,"Martini, Giovanni Battista",it,Bulåggna,1706,it,Bulåggna,1784,ga_perti
jb_cabanilles,Joan Baptista,Cabanilles,,"Cabanilles, Joan Baptista",es,Algemesí,1644,es,València,1712,u_vargas
n_mariner,Nicolás,Mariner,,"Mariner, Nicolás",es,Teruel,,es,València,1636,
l_roso,Lluís,Roso Bover,,"Roso, Lluís",es,Vinaròs,1836,es,Vinaròs,1911,
mt_oller,Maria Teresa,Oller Benlloch,,"Oller, Maria Teresa",es,València,1920,es,València,2018,"m_palau,r_benedito,e_jarnack"
jm_alcacer,José María,Alcácer Martínez,,"Alcácer, José María",es,Aldaia,1899,es,Madrid,1994,"v_ripolles,m_palau,e_vega,c_campo"
j_alexandre,Josep,Alexandre,,"Alexandre, Josep",es,Oriola,ca.1772,es,Oriola,1832,
f_alfonso,Frederic,Alfonso i Ferrer,,"Alfonso, Frederic",es,València,1879,es,Barcelona,1946,"m_penella_raga,jm_ubeda,fp_gavagnach,e_daniel"
j_alos,Juan,Alós Tormo,,"Alós, Juan",es,València,1914,es,València,1982,"f_costa,j_manen,e_casals,e_borel,j_thibaud"
a_amoros,Amanci,Amorós Sirvent,,"Amorós, Amanci",es,Agullent,1854,es,Sant Cugat del Vallès,1925,s_giner
f_antich,Francesc,Antich Carbonell,,"Antich, Francesc",es,Silla,1860,es,València,1926,
f_argemi_casamada,Francesc d'Assís,Argemí i Casamada,,"Argemí i Casamada, Francesc",es,Badalona,1822,es,Vinaròs,1887,p_marsal
f_argemi_mustich,Francesc d'Assís,Argemí Mustich,,"Argemí Mustich, Francesc",es,Vinaròs,1891,es,Badalona,1969,f_pedrell
p_artola,Perfecto,Artola Prats,,"Artola, Perfecto",es,Benassal,1904,es,Málaga,1992,"j_palanca,l_millet,e_vega,j_nori"
v_asencio,Vicent,Asencio i Ruano,,"Asencio, Vicent",es,València,1908,es,València,1979,"e_morera,f_marshall,j_turina,e_halffter"
mc_asenjo,María de la Concepción,Asenjo Vilar,,"Asenjo, María de la Concepción",es,València,1875,es,Madrid,1921,"r_segura,b_max"
m_asensi,Miquel,Asensi i Martín,,"Asensi, Miquel",es,Llíria,1879,es,Ontinyent,1945,s_giner
f_avinent,Francesc,Avinent Tirado,,"Avinent, Francesc",es,Castelló de la Plana,1857,es,Castelló de la Plana,1931,
jv_baguena,Josep Vicent,Bàguena i Soler,,"Bàguena, Josep",es,València,1908,es,València,1995,"j_iturbi,f_tito"
m_baixauli,Mariano,Baixauli Biguer,,"Baixauli, Mariano",es,València,1861,es,València,1923,
f_balaguer,Francisco,Balaguer Mariel,,"Balaguer, Francisco",es,Villalonga,1896,ar,Buenos Aires,1965,p_sosa
jb_belda,Juan Bautista,Belda Pastor,,"Belda, Juan Bautista",es,Bocairent,1890,es,Benisoda,1936,jb_pastor
m_belles,Montserrat,Bellés Sagarminaga,,"Bellés, Montserrat",es,Vinaròs,1943,es,Alacant,1998,"c_halffter,f_cales,g_gombau"
r_benedito,Rafael,Benedito Vives,,"Benedito, Rafael",es,València,1885,es,València,1963,
f_beneto,Francisco,Benetó Martínez,,"Benetó, Francisco",es,Castelló de la Ribera,1877,pt,Lisboa,1945,"a_goni,j_white"
a_blanquer,Amand,Blanquer Ponsoda,,"Blanquer, Amand",es,Alcoi,1935,es,València,2005,"m_palau,m_asins,o_messiaen,g_petrassi"
